pick,team,plyr,pos,author,site
14,TB,Derrick Brown,DT,fourround,nfl.com
15,ARI,Jedrick Wills,OT,fourround,nfl.com
16,NYJ,K'Lavon Chaisson,Edge,fourround,nfl.com
17,DAL,C.J. Henderson,CB,fourround,nfl.com
18,MIA,Austin Jackson,OT,fourround,nfl.com
19,OAK,Kenneth Murray,LB,fourround,nfl.com
20,BAL,Patrick Queen,LB,fourround,nfl.com
21,PHI,Justin Jefferson,WR,fourround,nfl.com
22,MIN,Denzel Mims,WR,fourround,nfl.com
23,LAC,Jordan Love,QB,fourround,nfl.com
24,CAR,James Lynch,DE,fourround,nfl.com
25,MIN,Yetur Gross-Matos,Edge,fourround,nfl.com
26,MIA,Jonathan Taylor,RB,fourround,nfl.com
27,SEA,Joshua Jones,OT,fourround,nfl.com
28,JAC,Cole Kmet,TE,fourround,nfl.com
29,TEN,Ross Blacklock,DT,fourround,nfl.com
30,GB,Tee Higgins,WR,fourround,nfl.com
31,SF,A.J. Terrell,CB,fourround,nfl.com
32,KC,Terrell Burgess,CB,fourround,nfl.com
1,CIN,Joe Burrow,QB,charley-casserlys,nfl.com
2,WAS,Chase Young,Edge,charley-casserlys,nfl.com
3,DET,Jeff Okudah,CB,charley-casserlys,nfl.com
4,NYG,Mekhi Becton,OT,charley-casserlys,nfl.com
5,MIA,Tua Tagovailoa,QB,charley-casserlys,nfl.com
6,LAC,Justin Herbert,QB,charley-casserlys,nfl.com
7,CAR,Derrick Brown,DT,charley-casserlys,nfl.com
8,ARI,Javon Kinlaw,DT,charley-casserlys,nfl.com
9,JAC,Isaiah Simmons,S/LB,charley-casserlys,nfl.com
10,CLE,Andrew Thomas,OT,charley-casserlys,nfl.com
11,NYJ,Jedrick Wills,OT,charley-casserlys,nfl.com
12,OAK,Jerry Jeudy,WR,charley-casserlys,nfl.com
13,SF,CeeDee Lamb,WR,charley-casserlys,nfl.com
14,TB,Tristan Wirfs,OT,charley-casserlys,nfl.com
15,DEN,Henry Ruggs III,WR,charley-casserlys,nfl.com
16,ATL,C.J. Henderson,CB,charley-casserlys,nfl.com
17,DAL,A.J. Epenesa,Edge,charley-casserlys,nfl.com
18,MIA,Xavier McKinney,S,charley-casserlys,nfl.com
19,OAK,Grant Delpit,S,charley-casserlys,nfl.com
20,JAC,Kristian Fulton,CB,charley-casserlys,nfl.com
21,PHI,Justin Jefferson,WR,charley-casserlys,nfl.com
22,MIN,Trevon Diggs,CB,charley-casserlys,nfl.com
23,NE,K'Lavon Chaisson,Edge,charley-casserlys,nfl.com
24,NO,A.J. Terrell,CB,charley-casserlys,nfl.com
25,MIN,Yetur Gross-Matos,Edge,charley-casserlys,nfl.com
26,MIA,Austin Jackson,OT,charley-casserlys,nfl.com
27,SEA,Curtis Weaver,Edge,charley-casserlys,nfl.com
28,BAL,Kenneth Murray,LB,charley-casserlys,nfl.com
29,TEN,Joshua Jones,OT,charley-casserlys,nfl.com
30,GB,Tee Higgins,WR,charley-casserlys,nfl.com
31,SF,Raekwon Davis,DT,charley-casserlys,nfl.com
32,KC,Damon Arnette,CB,charley-casserlys,nfl.com
